id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
259,4,1,1,4,18,Symmetry,5,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+18.pdf
258,4,1,1,4,17,Construction ,25,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+17.pdf
257,4,1,1,4,16,Congurance,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+16.pdf
256,4,1,1,4,15,Properties Of Triangles ,29,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+15.pdf
255,4,1,1,4,14,Lines And Angle S,9,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+14.pdf
254,4,1,1,4,13,Simple Inteest,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+13.pdf
253,4,1,1,4,12,Profit And Loss,7,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+12.pdf
252,4,1,1,4,11,Percentage ,10,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+11.pdf
251,4,1,1,4,10,Unitary Method ,5,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+10.pdf
250,4,1,1,4,9,Ratio And Proportion ,14,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+9.pdf
249,4,1,1,4,8,Linearr Expression In One Variable,27,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+8.pdf
248,4,1,1,4,7,Algebric Expression ,17,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+7.pdf
247,4,1,1,4,6,Exponents,25,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+6.pdf
246,4,1,1,4,5,Operation,36,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+5.pdf
245,4,1,1,4,4,Rational Number ,35,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+4.pdf
244,4,1,1,4,3,Decimals ,35,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+3.pdf
243,4,1,1,4,2,Fraction ,35,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+2.pdf
242,4,1,1,4,1, Integer ,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+1.pdf
241,3,1,1,4,22,Data Handling 1,13,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+22.pdf
240,3,1,1,4,21,Mensuration 2,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+21.pdf
239,3,1,1,4,20,Mensuration 1,56,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+20.pdf
238,3,1,1,4,19,Visualising Solid Shape ,1,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+19.pdf
237,3,1,1,4,18,Symmetry,6,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/7th/chapter+18.pdf
